values,time
24.00168,2021-03-13T08:29:38Z
25.00429,2021-03-13T08:30:09Z
27.00081,2021-03-13T08:30:19Z
22.00082,2021-03-13T08:31:19Z
23.00342,2021-03-13T08:31:39Z
25.00429,2021-03-13T08:31:59Z
25.00429,2021-03-13T08:32:40Z
24.00168,2021-03-13T08:33:00Z
22.00082,2021-03-13T08:34:00Z
23.00342,2021-03-13T08:34:20Z
24.00168,2021-03-13T08:34:40Z
25.00429,2021-03-13T08:35:10Z
21.00256,2021-03-13T08:35:41Z
25.00429,2021-03-13T08:36:31Z
23.00342,2021-03-13T08:37:11Z
21.00256,2021-03-13T08:37:31Z
24.00168,2021-03-13T08:38:22Z
22.00082,2021-03-13T08:38:52Z
23.00342,2021-03-13T08:39:12Z
23.00342,2021-03-13T08:39:52Z
21.00256,2021-03-13T08:40:12Z
25.00429,2021-03-13T08:41:13Z
22.00082,2021-03-13T08:41:33Z
21.00256,2021-03-13T08:41:43Z
25.00429,2021-03-13T08:42:53Z
23.00342,2021-03-13T08:43:03Z
22.00082,2021-03-13T08:43:34Z
23.00342,2021-03-13T08:45:04Z
22.00082,2021-03-13T08:45:34Z
24.00168,2021-03-13T08:45:44Z
23.00342,2021-03-13T08:45:54Z
22.00082,2021-03-13T08:46:25Z
25.00429,2021-03-13T08:47:15Z
23.00342,2021-03-13T08:47:35Z
21.00256,2021-03-13T08:48:25Z
23.00342,2021-03-13T08:48:35Z
25.00429,2021-03-13T08:48:56Z
21.00256,2021-03-13T08:49:46Z
25.00429,2021-03-13T08:50:26Z
21.00256,2021-03-13T08:51:37Z
23.00342,2021-03-13T08:51:47Z
21.00256,2021-03-13T08:52:27Z
22.00082,2021-03-13T08:52:37Z
21.00256,2021-03-13T08:53:07Z
22.00082,2021-03-13T08:53:17Z
19.0017,2021-03-13T08:54:28Z
21.00256,2021-03-13T08:54:38Z
24.00168,2021-03-13T08:54:48Z
19.0017,2021-03-13T08:55:48Z
